ID	Phase	Task Name	Owner	Status	Priority	Start Date	Due Date	Completed	Days Left	Blocker	Notes	Dependencies
1	Phase 0: Reboot	Thursday standing call (reboot meeting)	Paul Giarrizzo	In Progress	High	2/4/2026	2/6/2026			Agenda prepared
2	Phase 0: Reboot	Confirm team commitment (all members)	Paul Giarrizzo	Not Started	High	2/6/2026	2/13/2026			Discuss at Thu call	1
3	Phase 0: Reboot	Brian: sign royalty agreement	Brian Williams	Not Started	High	2/6/2026	2/13/2026			5% royalty, two options	1
4	Phase 0: Reboot	Alex: confirm capital for Phase 1-2	Alex Munn	Not Started	High	2/6/2026	2/13/2026			$20-30K initial need	1
5	Phase 0: Reboot	Contact Ross - update & re-engage	Paul Giarrizzo	Not Started	High	2/6/2026	2/8/2026			Not on Thu call, needs separate update	1
6	Phase 0: Reboot	Establish recurring Thursday standing call	Paul Giarrizzo	Not Started	High	2/6/2026	2/6/2026			Send calendar invite after first call	1
7	Phase 0: Reboot	Set up team communication channel	Whitney Sanchez	Not Started	Medium	2/6/2026	2/13/2026			Text group, Slack, or Discord	1
8	Phase 0: Reboot	Deploy Google Sheets Command Center	Paul Giarrizzo	Complete	High	2/4/2026	2/6/2026	2/4/2026		Dashboard live
9	Phase 0: Reboot	Share dashboard + docs with team	Paul Giarrizzo	Not Started	High	2/6/2026	2/8/2026			Send after Thu call	1,8
10	Phase 0: Reboot	USPTO trademark search for PopTop	Paul Giarrizzo	Complete	High	2/3/2026	2/6/2026	2/3/2026		See 02-Legal-IP/trademark-domain-research report
11	Phase 0: Reboot	Check domain availability (PopTop.com + alts)	Paul Giarrizzo	Complete	Medium	2/3/2026	2/6/2026	2/3/2026		poptop.com for sale; drinkpoptop.com likely available
12	Phase 0: Reboot	Verify Bishop filing status at tsdr.uspto.gov (Serial No. 87271968)	Alex Munn	Not Started	High	2/4/2026	2/8/2026			Direct Class 21 conflict -- drinkware	10
13	Phase 0: Reboot	Send trademark research to Jeff Johnson for legal assessment	Paul Giarrizzo	Not Started	High	2/6/2026	2/10/2026				10,12
14	Phase 0: Reboot	Register best available domain (drinkpoptop.com or getpoptop.com)	Alex Munn	Not Started	High	2/6/2026	2/10/2026				11
15	Phase 0: Reboot	Prepare 2-3 backup brand names	Paul Giarrizzo	Not Started	High	2/6/2026	2/13/2026			In case attorney flags trademark issues	12,13
16	Phase 0: Reboot	Secure social media handles (matching domain)	Whitney Sanchez	Not Started	Medium	2/10/2026	2/17/2026			IG, TikTok, X, Facebook	14
17	Phase 1: Design	Review existing CAD files, assess current state	Brian Williams	Not Started	High	2/9/2026	2/13/2026			STEP/STL/SLDASM files exist
18	Phase 1: Design	Finalize V1 dimensions & capacity	Brian Williams	Not Started	High	2/13/2026	2/27/2026				17
19	Phase 1: Design	Complete SolidWorks assembly	Brian Williams	Not Started	High	2/27/2026	3/13/2026				18
20	Phase 1: Design	Design dispensing mechanism	Brian Williams	Not Started	High	3/13/2026	3/20/2026				19
21	Phase 1: Design	Design modular branding panels (school logos)	Brian Williams	Not Started	Medium	3/20/2026	3/27/2026				20
22	Phase 1: Design	DFM review with Ross	Brian Williams	Not Started	High	3/27/2026	4/3/2026			Brian + Ross collaboration	21
23	Phase 1: Design	Create technical drawings package	Brian Williams	Not Started	High	4/3/2026	4/10/2026				22
24	Phase 1: Design	Print prototype V1 (3D printer)	Brian Williams	Not Started	High	3/13/2026	3/20/2026				19
25	Phase 1: Design	Functional testing (pour, seal, clean)	Paul Giarrizzo	Not Started	High	3/20/2026	3/27/2026			Brian + Paul	24
26	Phase 1: Design	Iterate based on testing	Brian Williams	Not Started	Medium	3/27/2026	4/3/2026				25
27	Phase 1: Design	Print prototype V2 (refined)	Brian Williams	Not Started	High	4/3/2026	4/10/2026				26
28	Phase 1: Design	Final validation testing	Team	Not Started	High	4/10/2026	4/17/2026			All stakeholders	27
29	Phase 1: Design	Create Bill of Materials (BOM) draft	Brian Williams	Not Started	Medium	4/10/2026	4/17/2026				23
30	Phase 1: Design	Document material specifications	Brian Williams	Not Started	Medium	4/10/2026	4/17/2026				23
31	Phase 1: Design	Design freeze approval	Team	Not Started	High	4/17/2026	4/24/2026			PHASE 1 GATE	28,29,30
32	Phase 2: Brand	Finalize PopTop name decision	Team	Not Started	High	2/6/2026	2/13/2026			Confirm at Thu call	1
33	Phase 2: Brand	Attorney go/no-go on PopTop trademark	Paul Giarrizzo	Not Started	High	2/10/2026	2/20/2026			Jeff Johnson assessment	13
34	Phase 2: Brand	File trademark application	Paul Giarrizzo	Not Started	High	2/20/2026	3/6/2026			With attorney	33
35	Phase 2: Brand	Logo design (3 concepts)	Paul Giarrizzo	Not Started	Medium	3/6/2026	3/13/2026				34
36	Phase 2: Brand	Logo selection & refinement	Team	Not Started	Medium	3/13/2026	3/20/2026			Team vote	35
37	Phase 2: Brand	Brand style guide creation	Paul Giarrizzo	Not Started	Medium	3/20/2026	3/27/2026				36
38	Phase 2: Brand	Patent strategy discussion with attorney	Paul Giarrizzo	Not Started	Medium	3/6/2026	3/13/2026
39	Phase 2: Brand	Provisional patent decision	Team	Not Started	Medium	3/13/2026	3/20/2026				38
40	Phase 2: Brand	File provisional patent (if proceeding)	Paul Giarrizzo	Not Started	Medium	3/20/2026	4/3/2026				39
41	Phase 2: Brand	Brian royalty agreement signed	Paul Giarrizzo	Not Started	High	2/6/2026	2/13/2026			Product Dev & Royalty Agreement	3
42	Phase 2: Brand	Entity formation (LLC)	Paul Giarrizzo	Not Started	High	2/13/2026	2/27/2026				4
43	Phase 2: Brand	Operating agreement	Paul Giarrizzo	Not Started	High	2/27/2026	3/6/2026				42
44	Phase 3: Manufacturing	Identify 3-5 potential manufacturers	Ross Munn	Not Started	High	4/24/2026	5/8/2026				31
45	Phase 3: Manufacturing	Send RFQ with tech drawings	Ross Munn	Not Started	High	5/8/2026	5/15/2026			Brian provides drawings	31,23
46	Phase 3: Manufacturing	Evaluate quotes & capabilities	Paul Giarrizzo	Not Started	High	5/15/2026	5/29/2026			Ross + Paul	45
47	Phase 3: Manufacturing	Select primary manufacturer	Team	Not Started	High	5/29/2026	6/5/2026				46
48	Phase 3: Manufacturing	Negotiate terms & MOQ	Paul Giarrizzo	Not Started	High	6/5/2026	6/12/2026			Ross + Paul	47
49	Phase 3: Manufacturing	Tooling quote & timeline	Ross Munn	Not Started	High	5/29/2026	6/5/2026				47
50	Phase 3: Manufacturing	Tooling deposit & kick-off	Paul Giarrizzo	Not Started	High	6/12/2026	6/12/2026			Finance decision	48,49
51	Phase 3: Manufacturing	First article inspection (T1 samples)	Brian Williams	Not Started	High	7/10/2026	7/17/2026			Brian + Ross	50
52	Phase 3: Manufacturing	T1 approval / modifications	Brian Williams	Not Started	High	7/17/2026	7/24/2026				51
53	Phase 3: Manufacturing	Production run authorization	Team	Not Started	High	7/24/2026	7/31/2026			PHASE 3 GATE	52
54	Phase 3: Manufacturing	Packaging design	Paul Giarrizzo	Not Started	Medium	6/12/2026	6/26/2026
55	Phase 3: Manufacturing	Packaging supplier selection	Ross Munn	Not Started	Medium	6/26/2026	7/10/2026				54
56	Phase 3: Manufacturing	3PL / fulfillment partner evaluation	Paul Giarrizzo	Not Started	Medium	6/26/2026	7/10/2026
57	Phase 3: Manufacturing	3PL contract signed	Paul Giarrizzo	Not Started	Medium	7/10/2026	7/17/2026				56
58	Phase 4: Licensing	Research CLC application process & requirements	Paul Giarrizzo	Not Started	High	2/13/2026	3/6/2026			Start early while design runs in parallel
59	Phase 4: Licensing	Prepare licensee application materials	Paul Giarrizzo	Not Started	High	3/6/2026	4/3/2026			Need prototype photos + DFM docs	58
60	Phase 4: Licensing	Submit CLC application (with prototype + DFM docs)	Paul Giarrizzo	Not Started	High	4/24/2026	5/1/2026			Submit at design freeze with samples	59,31
61	Phase 4: Licensing	CLC approval (6-12 weeks from submission)	Paul Giarrizzo	Not Started	High	5/1/2026	7/24/2026			6-12 week review process	60
62	Phase 4: Licensing	Negotiate school-specific licenses (3-5)	Paul Giarrizzo	Not Started	High	6/19/2026	8/7/2026			Start with Tier 1 schools; begin as soon as approval likely	61
63	Phase 5: GTM	Shopify store setup	Paul Giarrizzo	Not Started	High	6/19/2026	6/26/2026
64	Phase 5: GTM	Email capture / waitlist page	Paul Giarrizzo	Not Started	High	6/19/2026	6/26/2026				63
65	Phase 5: GTM	Payment processing (Stripe)	Paul Giarrizzo	Not Started	Medium	6/26/2026	7/3/2026				63
66	Phase 5: GTM	Product photography	Paul Giarrizzo	Not Started	High	7/17/2026	7/24/2026			Need production samples	51
67	Phase 5: GTM	Product copy & descriptions	Paul Giarrizzo	Not Started	Medium	7/24/2026	7/31/2026				66
68	Phase 5: GTM	Shipping rates configuration	Paul Giarrizzo	Not Started	Medium	7/24/2026	7/31/2026				57
69	Phase 5: GTM	Social media content calendar	Whitney Sanchez	Not Started	Medium	6/26/2026	7/31/2026			Paul + Nathan
70	Phase 5: GTM	Launch campaign strategy	Paul Giarrizzo	Not Started	High	7/10/2026	7/31/2026
71	Phase 5: GTM	Influencer outreach list (tailgate accounts)	Whitney Sanchez	Not Started	Medium	7/10/2026	7/31/2026
72	Phase 5: GTM	PR / media list	Paul Giarrizzo	Not Started	Medium	7/17/2026	8/7/2026
73	Phase 5: GTM	Pre-launch email sequence	Paul Giarrizzo	Not Started	Medium	7/31/2026	8/14/2026				64
74	Phase 5: GTM	Waitlist goal: 1,000+ signups	Paul Giarrizzo	Not Started	High	6/26/2026	8/28/2026			Ongoing effort	64
75	Phase 5: GTM	Teaser content on social channels	Whitney Sanchez	Not Started	Medium	7/10/2026	8/28/2026			Ongoing	69
76	Phase 6: Launch	Inventory received at 3PL	Paul Giarrizzo	Not Started	High	8/7/2026	8/14/2026			Ross + Paul	53,57
77	Phase 6: Launch	Final QC on first units	Brian Williams	Not Started	High	8/14/2026	8/18/2026				76
78	Phase 6: Launch	Soft launch to friends/family	Paul Giarrizzo	Not Started	High	8/18/2026	8/21/2026				77
79	Phase 6: Launch	Collect initial feedback	Paul Giarrizzo	Not Started	High	8/21/2026	8/25/2026				78
80	Phase 6: Launch	Fix any issues identified	Brian Williams	Not Started	Medium	8/25/2026	8/28/2026				79
81	Phase 6: Launch	Public launch announcement	Paul Giarrizzo	Not Started	High	9/1/2026	9/1/2026			TARGET LAUNCH DATE - Football Season	80
82	Phase 6: Launch	Social media launch push	Whitney Sanchez	Not Started	High	9/1/2026	9/30/2026			Nathan + Paul	81
83	Phase 6: Launch	Monitor orders & fulfillment	Paul Giarrizzo	Not Started	High	9/1/2026	11/30/2026			Ongoing	81
84	Phase 6: Launch	Customer service setup	Whitney Sanchez	Not Started	Medium	8/18/2026	9/1/2026
85	Phase 6: Launch	Tailgate season marketing push	Paul Giarrizzo	Not Started	High	9/1/2026	11/30/2026			Football season	81
86	Phase 6: Launch	Weekly sales reporting	Paul Giarrizzo	Not Started	Medium	9/1/2026	11/30/2026			Ongoing	81
87	Phase 6: Launch	V2 feature roadmap kickoff	Brian Williams	Not Started	Low	11/1/2026	11/30/2026				81
